開發順序,主編號,角色,頁面群組,API 名稱,方法,API 路徑,Params,API盤點負責人,備註,功能說明,後端負責人,後端進度,後端截止日,前端負責人,前端進度,前端截止日,切版,API串接完成,Response,上線測試,上線日期,是API
,A1,訪客,A. 註冊頁,帳號註冊,c - POST,/api/user/register,,kimn,,,,待執行,,,待執行,,No,No,,No,,Yes
,A2,訪客,A. 註冊頁,驗證電子郵件,r - GET,/api/user/emailVerification/{token},,kimn,,,,待執行,,,待執行,,No,No,,No,,Yes
,A3,訪客,A. 註冊頁,重新傳送驗證電子郵件,r - GET,/api/user/resendEmailVerification/{uid},,kimn,,,,待執行,,,待執行,,No,No,,No,,Yes
,B1,訪客,B. 登入頁,登入,c - POST,/api/user/login,,kimn,,,,待執行,,,待執行,,No,No,,No,,Yes
,B2,訪客,B. 登入頁,第三方登入/註冊,r - GET,/api/user/login/goolge,,kimn,,,,待執行,,,待執行,,No,No,,No,,Yes
,C1,訪客,C. 忘記密碼頁,忘記密碼發信,c - POST,/api/reset/resetPassword,,kimn,,,,待執行,,,待執行,,No,No,,No,,Yes
,D1,組織成員,D. 組織群組,取得單一組織,r - GET,/api/organizations/{oid},,🐏,,,,待執行,,,待執行,,No,No,,No,,Yes
,D2,組織成員,D. 組織群組,新增組織,c - POST,/api/user/{uid}/organizations,,🐏,,,,待執行,,,待執行,,No,No,,No,,Yes
,D3,組織管理員,D. 組織群組,修改組織,u - PATCH,/api/user/{uid}/organizations/{oid},,🐏,,,,待執行,,,待執行,,No,No,,No,,Yes
,D4,組織管理員,D. 組織群組,刪除組織,d - DELETE,/api/user/{uid}/organizations/{oid},,🐏,,,,待執行,,,待執行,,No,No,,No,,Yes
,D5,組織管理員,D. 組織群組,邀請組織成員,c - POST,/api/user/{uid}/organizations/{oid}/invite,,🐏,缺取得邀請連結？啟動停用連結？輸入 Email 會出現此帳號是 Trello 會員之類的資訊嗎？,,,待執行,,,待執行,,No,No,,No,,Yes
,D6,組織成員,D. 組織群組,取得所有成員,r - GET,/api/user/{uid}/organizations/{oid}/members,,🐏,,,,待執行,,,待執行,,No,No,,No,,Yes
,D7,組織成員,D. 組織群組,退出組織,c - POST,/api/user/{uid}/organizations/{oid}/settings/quit,,🐏,,,,待執行,,,待執行,,No,No,,No,,Yes
